INFO:root:[Epoch 3/160][Iter 350/517][lr 0.001000][Loss: obj 7.25 || cls 3.02 || bbox 10.98 || total 21.25 || size 416]
INFO:root:[Epoch 3/160][Iter 360/517][lr 0.001000][Loss: obj 4.87 || cls 2.38 || bbox 5.34 || total 12.59 || size 416]
INFO:root:[Epoch 3/160][Iter 370/517][lr 0.001000][Loss: obj 6.16 || cls 2.65 || bbox 6.24 || total 15.05 || size 416]
INFO:root:[Epoch 3/160][Iter 380/517][lr 0.001000][Loss: obj 4.69 || cls 2.30 || bbox 7.05 || total 14.04 || size 416]
INFO:root:[Epoch 3/160][Iter 390/517][lr 0.001000][Loss: obj 5.69 || cls 2.87 || bbox 7.45 || total 16.01 || size 416]
INFO:root:[Epoch 3/160][Iter 400/517][lr 0.001000][Loss: obj 4.55 || cls 2.16 || bbox 5.66 || total 12.37 || size 416]
INFO:root:[Epoch 3/160][Iter 410/517][lr 0.001000][Loss: obj 6.08 || cls 3.16 || bbox 7.32 || total 16.55 || size 416]
INFO:root:[Epoch 3/160][Iter 420/517][lr 0.001000][Loss: obj 4.04 || cls 1.66 || bbox 5.01 || total 10.71 || size 416]
INFO:root:[Epoch 3/160][Iter 430/517][lr 0.001000][Loss: obj 5.47 || cls 2.80 || bbox 7.69 || total 15.97 || size 416]
INFO:root:[Epoch 3/160][Iter 440/517][lr 0.001000][Loss: obj 5.35 || cls 1.77 || bbox 7.68 || total 14.80 || size 416]
INFO:root:[Epoch 3/160][Iter 450/517][lr 0.001000][Loss: obj 4.67 || cls 1.59 || bbox 5.70 || total 11.96 || size 416]
INFO:root:[Epoch 3/160][Iter 460/517][lr 0.001000][Loss: obj 4.47 || cls 2.26 || bbox 5.44 || total 12.17 || size 416]
INFO:root:[Epoch 3/160][Iter 470/517][lr 0.001000][Loss: obj 5.13 || cls 2.01 || bbox 8.81 || total 15.95 || size 416]
INFO:root:[Epoch 3/160][Iter 480/517][lr 0.001000][Loss: obj 3.84 || cls 1.28 || bbox 4.20 || total 9.31 || size 416]
INFO:root:[Epoch 3/160][Iter 490/517][lr 0.001000][Loss: obj 4.46 || cls 2.19 || bbox 5.89 || total 12.54 || size 416]
INFO:root:[Epoch 3/160][Iter 500/517][lr 0.001000][Loss: obj 5.54 || cls 2.43 || bbox 7.32 || total 15.28 || size 416]
INFO:root:[Epoch 3/160][Iter 510/517][lr 0.001000][Loss: obj 4.16 || cls 1.60 || bbox 4.87 || total 10.63 || size 416]
INFO:root:[Epoch 4/160][Iter 0/517][lr 0.001000][Loss: obj 5.48 || cls 2.33 || bbox 6.20 || total 14.01 || size 416]
INFO:root:[Epoch 4/160][Iter 10/517][lr 0.001000][Loss: obj 6.05 || cls 2.39 || bbox 6.49 || total 14.93 || size 416]
INFO:root:[Epoch 4/160][Iter 20/517][lr 0.001000][Loss: obj 5.42 || cls 2.17 || bbox 7.26 || total 14.84 || size 416]
INFO:root:[Epoch 4/160][Iter 30/517][lr 0.001000][Loss: obj 5.38 || cls 2.34 || bbox 6.98 || total 14.70 || size 416]
INFO:root:[Epoch 4/160][Iter 40/517][lr 0.001000][Loss: obj 4.28 || cls 1.18 || bbox 4.49 || total 9.95 || size 416]
INFO:root:[Epoch 4/160][Iter 50/517][lr 0.001000][Loss: obj 4.43 || cls 2.08 || bbox 5.62 || total 12.13 || size 416]
INFO:root:[Epoch 4/160][Iter 60/517][lr 0.001000][Loss: obj 4.60 || cls 2.22 || bbox 6.35 || total 13.17 || size 416]
INFO:root:[Epoch 4/160][Iter 70/517][lr 0.001000][Loss: obj 4.70 || cls 2.53 || bbox 5.61 || total 12.83 || size 416]
INFO:root:[Epoch 4/160][Iter 80/517][lr 0.001000][Loss: obj 5.01 || cls 1.53 || bbox 5.87 || total 12.41 || size 416]
INFO:root:[Epoch 4/160][Iter 90/517][lr 0.001000][Loss: obj 4.15 || cls 1.05 || bbox 4.43 || total 9.64 || size 416]
INFO:root:[Epoch 4/160][Iter 100/517][lr 0.001000][Loss: obj 4.74 || cls 1.91 || bbox 5.78 || total 12.42 || size 416]
INFO:root:[Epoch 4/160][Iter 110/517][lr 0.001000][Loss: obj 4.88 || cls 2.09 || bbox 7.17 || total 14.15 || size 416]
INFO:root:[Epoch 4/160][Iter 120/517][lr 0.001000][Loss: obj 4.60 || cls 2.03 || bbox 5.04 || total 11.66 || size 416]
